BCU_Code|BCU_Name|Major_Crime_Category|Minor_Crime_Category|Number_of_Records|Borough|Sum_Value|Type|Month|Year
CN|Central North Command Unit|Theft|Bicycle Theft|1|Islington|2|Sanction Detections|5|2010
AS|Central South Command Unit|Theft|Bicycle Theft|1|Lambeth|5|Sanction Detections|5|2010
AS|Central South Command Unit|Theft|Bicycle Theft|1|Southwark|1|Sanction Detections|5|2010
AW|Central West Command Unit|Theft|Bicycle Theft|1|Kensington and Chelsea|0|Sanction Detections|5|2010
AW|Central West Command Unit|Theft|Bicycle Theft|1|City of Westminster|3|Sanction Detections|5|2010
AW|Central West Command Unit|Theft|Bicycle Theft|1|Hammersmith and Fulham|4|Sanction Detections|5|2010
SW|South West Command Unit|Theft|Bicycle Theft|1|Richmond upon Thames|0|Sanction Detections|12|2010
SW|South West Command Unit|Theft|Bicycle Theft|1|Kingston upon Thames|1|Sanction Detections|12|2010
SW|South West Command Unit|Theft|Bicycle Theft|1|Merton|0|Sanction Detections|12|2010
SW|South West Command Unit|Theft|Bicycle Theft|1|Wandsworth|1|Sanction Detections|12|2010
WA|West Area Command Unit|Theft|Bicycle Theft|1|Heathrow Airport|0|Sanction Detections|12|2010
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hounslow|1|Sanction Detections|12|2010
WA|West Area Command Unit|Theft|Bicycle Theft|1|Ealing|2|Sanction Detections|12|2010
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hillingdon|0|Sanction Detections|12|2010
CE|Central East Command Unit|Theft|Bicycle Theft|1|Hackney|62|Offences|1|2011
CE|Central East Command Unit|Theft|Bicycle Theft|1|Tower Hamlets|40|Offences|1|2011
CE|Central East Command Unit|Theft|Bicycle Theft|1|Hackney|187|Offences|7|2010
CE|Central East Command Unit|Theft|Bicycle Theft|1|Tower Hamlets|142|Offences|7|2010
CN|Central North Command Unit|Theft|Bicycle Theft|1|Camden|152|Offences|7|2010
CN|Central North Command Unit|Theft|Bicycle Theft|1|Islington|187|Offences|7|2010
AS|Central South Command Unit|Theft|Bicycle Theft|1|Lambeth|163|Offences|7|2010
